time,speed,baro_pressure,amb_air_temp,accelerator_pos_d,accelerator_pos_e,fuel_type,
230301_203830,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203831,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203832,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203832,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203833,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203834,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203834,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203835,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203836,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203836,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203837,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203837,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203838,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203839,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203840,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203840,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203841,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203842,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203842,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203843,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203844,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203844,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203845,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203846,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203846,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203847,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203848,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203848,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203849,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203850,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203851,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
230301_203851,0.0,98,6,14.509803921568627,14.509803921568627,Electric,
